Epoch,Loss,Accuracy,Best Accuracy
1,0.05746682864329364,24.63888931274414,24.63888931274414
2,0.056818688404531435,24.63888931274414,24.63888931274414
3,0.05667889791702775,24.63888931274414,24.63888931274414
4,0.05668193944598644,24.63888931274414,24.63888931274414
5,0.05667115022671991,24.819446563720703,24.819446563720703
6,0.05664171082642373,24.63888931274414,24.819446563720703
7,0.056574783465876306,24.56944465637207,24.819446563720703
8,0.056546093046555154,24.63888931274414,24.819446563720703
9,0.05651186594557308,24.625,24.819446563720703
10,0.05659352895537449,24.416667938232422,24.819446563720703
11,0.05652170622833363,24.59722328186035,24.819446563720703
12,0.05650102752532874,24.63888931274414,24.819446563720703
13,0.05644894707160973,24.694446563720703,24.819446563720703
14,0.056410576836384924,24.45833396911621,24.819446563720703
15,0.05636505609503892,24.61111068725586,24.819446563720703
16,0.05639278855068506,24.56944465637207,24.819446563720703
17,0.05640311104372098,24.625,24.819446563720703
18,0.05635299622076192,24.555557250976562,24.819446563720703
19,0.056378757265602444,24.65277862548828,24.819446563720703
20,0.05639931737386286,24.416667938232422,24.819446563720703
21,0.05632599380730611,24.23611068725586,24.819446563720703
22,0.056252946532745506,24.625,24.819446563720703
23,0.05627095197293405,24.65277862548828,24.819446563720703
24,0.056278879770627524,24.541667938232422,24.819446563720703
25,0.05622454929295335,24.58333396911621,24.819446563720703
