Epoch,Loss,Accuracy,Best Accuracy
1,0.02797266187876792,30.51714515686035,30.51714515686035
2,0.024270667514563846,43.75,43.75
3,0.02158346437827402,47.24834060668945,47.24834060668945
4,0.01993911351823413,50.152099609375,50.152099609375
5,0.018807470700912637,51.327430725097656,51.327430725097656
6,0.01773915135452269,53.04203796386719,53.04203796386719
7,0.016793041398829273,54.576881408691406,54.576881408691406
8,0.015975922137460446,54.72898483276367,54.72898483276367
9,0.015194391013811181,54.576881408691406,54.72898483276367
10,0.014383739378556193,55.04701232910156,55.04701232910156
11,0.01347927274389731,55.06084060668945,55.06084060668945
12,0.012573667170340466,56.1532096862793,56.1532096862793
13,0.011699829518788785,56.26382827758789,56.26382827758789
14,0.010799572004113078,55.72455596923828,56.26382827758789
15,0.009802086987612186,55.074668884277344,56.26382827758789
16,0.008770971234230342,54.75663375854492,56.26382827758789
17,0.007960907096810308,54.092918395996094,56.26382827758789
18,0.007037258997033759,54.424781799316406,56.26382827758789
19,0.006272487024963785,53.99612808227539,56.26382827758789
20,0.0054203438005824755,54.120574951171875,56.26382827758789
21,0.004700525255988702,55.17145919799805,56.26382827758789
22,0.004170387127941822,54.31415939331055,56.26382827758789
23,0.003817834003915308,53.553653717041016,56.26382827758789
24,0.003450193625723225,54.52157211303711,56.26382827758789
25,0.0030347720640298364,53.80254364013672,56.26382827758789
26,0.002801603003529248,54.535400390625,56.26382827758789
27,0.0025574354939984115,54.70132827758789,56.26382827758789
28,0.002537291088766005,54.18971252441406,56.26382827758789
29,0.002127529532886441,52.972900390625,56.26382827758789
30,0.0023229139733364967,54.120574951171875,56.26382827758789
31,0.001996136109203774,52.820796966552734,56.26382827758789
32,0.0019205695627332294,53.539825439453125,56.26382827758789
33,0.0020226504320337868,54.120574951171875,56.26382827758789
