Epoch,Loss,Accuracy,Best Accuracy
1,0.02795742924939486,30.835174560546875,30.835174560546875
2,0.023095735146951277,47.56637191772461,47.56637191772461
3,0.019803533204367778,51.963497161865234,51.963497161865234
4,0.017918769466768607,54.217369079589844,54.217369079589844
5,0.016531071718461028,55.01935958862305,55.01935958862305
6,0.015311174199782866,55.76604080200195,55.76604080200195
7,0.01415417212242243,57.02433776855469,57.02433776855469
8,0.012885950180034975,55.696903228759766,57.02433776855469
9,0.011652869036372974,57.14878463745117,57.14878463745117
10,0.010315656162669423,55.807518005371094,57.14878463745117
11,0.009131623469216558,56.87223815917969,57.14878463745117
12,0.007568352455658334,54.950218200683594,57.14878463745117
13,0.006431625420685376,54.88108444213867,57.14878463745117
14,0.005441320531482611,56.07024383544922,57.14878463745117
15,0.004522757634498212,55.655418395996094,57.14878463745117
16,0.003924082460669482,55.3927001953125,57.14878463745117
17,0.003528509866330121,55.60011291503906,57.14878463745117
18,0.003145666040703065,54.5907096862793,57.14878463745117
19,0.0027830813468964215,54.964046478271484,57.14878463745117
20,0.0023875337331140715,54.811946868896484,57.14878463745117
21,0.0022180786516519087,55.779869079589844,57.14878463745117
22,0.0021419972532321974,56.20851516723633,57.14878463745117
23,0.002106756699118091,55.37887191772461,57.14878463745117
24,0.002045830215486301,54.798118591308594,57.14878463745117
25,0.001971245828002931,55.71072769165039,57.14878463745117
26,0.001716494637773517,55.76604080200195,57.14878463745117
27,0.001969121617231535,55.807518005371094,57.14878463745117
28,0.0016549529445536138,56.04258728027344,57.14878463745117
29,0.0018000354194737448,55.47566223144531,57.14878463745117
